error,rounds
6117,0.444033
6121,0.443929
6125,0.443826
6129,0.443722
6133,0.443619
6137,0.443515
6141,0.443411
6145,0.443307
6149,0.443203
6153,0.443099
6157,0.442995
6161,0.44289
6165,0.442786
6169,0.442681
6173,0.442576
6177,0.442471
6181,0.442366
6185,0.442261
6189,0.442156
6193,0.442051
6197,0.441945
6201,0.44184
6205,0.441734
6209,0.441628
6213,0.441522
6217,0.441416
6221,0.44131
6225,0.441204
6229,0.441097
6233,0.440991
6237,0.440884
6241,0.440778
6245,0.440671
6249,0.440564
6253,0.440457
6257,0.44035
6261,0.440242
6265,0.440135
6269,0.440028
6273,0.43992
6277,0.439812
6281,0.439705
6285,0.439597
6289,0.439489
6293,0.43938
6297,0.439272
6301,0.439164
6305,0.439055
6309,0.438947
6313,0.438838
6317,0.438729
6321,0.43862
6325,0.438511
6329,0.438402
6333,0.438293
6337,0.438184
6341,0.438074
6345,0.437965
6349,0.437855
6353,0.437745
6357,0.437636
6361,0.437526
6365,0.437416
6369,0.437305
6373,0.437195
6377,0.437085
6381,0.436974
6385,0.436864
6389,0.436753
6393,0.436642
6397,0.436531
6401,0.43642
6405,0.436309
6409,0.436198
6413,0.436086
6417,0.435975
6421,0.435863
6425,0.435752
6429,0.43564
6433,0.435528
6437,0.435416
6441,0.435304
6445,0.435192
6449,0.43508
6453,0.434967
6457,0.434855
6461,0.434742
6465,0.43463
6469,0.434517
6473,0.434404
6477,0.434291
6481,0.434178
6485,0.434065
6489,0.433952
6493,0.433838
6497,0.433725
6501,0.433611
6505,0.433498
6509,0.433384
6513,0.43327
6517,0.433156
6521,0.433042
6525,0.432928
6529,0.432814
6533,0.432699
6537,0.432585
6541,0.43247
6545,0.432356
6549,0.432241
6553,0.432126
6557,0.432011
6561,0.431896
6565,0.431781
6569,0.431666
6573,0.431551
6577,0.431435
6581,0.43132
6585,0.431204
6589,0.431089
6593,0.430973
6597,0.430857
6601,0.430741
6605,0.430625
6609,0.430509
6613,0.430393
6617,0.430276
6621,0.43016
6625,0.430043
6629,0.429927
6633,0.42981
6637,0.429693
6641,0.429576
6645,0.429459
6649,0.429342
6653,0.429225
6657,0.429108
6661,0.428991
6665,0.428873
6669,0.428756
6673,0.428638
6677,0.42852
6681,0.428403
6685,0.428285
6689,0.428167
6693,0.428049
6697,0.427931
6701,0.427813
6705,0.427694
6709,0.427576
6713,0.427457
6717,0.427339
6721,0.42722
